Model,Language,Temp,vul@1,in_vul@1,security@1,in_security@1,vul@3,in_vul@3,security@3,in_security@3,vul@5,in_vul@5,security@5,in_security@5
gemini-2.5-flash,Hebrew,1.0,17.96,33.88,80.61,65.31,26.84,47.76,70.41,50.0,29.59,52.04,70.41,47.96
gemini-2.5-flash,Greek,1.0,17.08,30.62,82.29,67.71,25.83,47.29,72.92,51.04,29.17,54.17,70.83,45.83
gemini-2.5-flash,Hungarian,1.0,17.94,34.23,77.32,62.89,28.76,50.0,71.13,49.48,31.96,53.61,68.04,46.39
gemini-2.5-flash,Italian,1.0,16.12,31.02,84.69,69.39,24.9,46.84,74.49,52.04,27.55,52.04,72.45,47.96
gemini-2.5-flash,Turkish,1.0,14.75,31.52,87.88,70.71,22.32,45.56,77.78,55.56,24.24,49.49,75.76,50.51
gemini-2.5-flash,Portuguese,1.0,13.33,27.27,86.87,72.73,22.02,43.33,77.78,53.54,26.26,50.51,73.74,49.49
gpt-4o-mini,English,0.0,50.87,75.22,50.0,23.91,51.09,75.65,48.91,23.91,51.09,76.09,48.91,23.91
gpt-4o-mini,Arabic,0.0,46.82,70.45,52.27,29.55,47.95,71.14,51.14,28.41,48.86,71.59,51.14,28.41
gpt-4o-mini,Russian,0.0,45.91,71.82,52.27,27.27,46.82,72.27,52.27,27.27,47.73,72.73,52.27,27.27
gpt-4o-mini,French,0.0,46.15,70.55,53.85,28.57,46.15,70.99,53.85,28.57,46.15,71.43,53.85,28.57
gpt-4o-mini,Afrikaans,0.0,52.33,76.51,47.67,24.42,52.33,76.74,47.67,23.26,52.33,76.74,47.67,23.26
gpt-4o-mini,Portuguese,0.0,47.78,70.44,52.22,27.78,47.78,71.33,52.22,27.78,47.78,72.22,52.22,27.78
gpt-4o-mini,Persian,0.0,47.56,69.51,52.44,30.49,47.56,69.51,52.44,30.49,47.56,69.51,52.44,30.49
gpt-4o-mini,Finnish,0.0,44.44,74.44,55.56,25.56,44.44,74.44,55.56,25.56,44.44,74.44,55.56,25.56
gpt-4o-mini,Tagalog,0.0,52.33,73.26,47.67,26.74,52.33,73.26,47.67,26.74,52.33,73.26,47.67,26.74
gpt-4o-mini,Estonian,0.0,43.26,69.57,57.61,30.43,43.48,70.22,56.52,29.35,43.48,70.65,56.52,29.35
gpt-4o-mini,Chinese,0.0,47.19,71.91,52.81,28.09,47.19,71.91,52.81,28.09,47.19,71.91,52.81,28.09
gpt-4o-mini,Dutch,0.0,48.54,75.28,50.56,24.72,48.99,75.28,50.56,24.72,49.44,75.28,50.56,24.72
gpt-4o-mini,Vietnamese,0.0,47.78,75.56,52.22,24.44,47.78,75.56,52.22,24.44,47.78,75.56,52.22,24.44
gpt-4o-mini,German,0.0,48.31,71.91,51.69,28.09,48.31,71.91,51.69,28.09,48.31,71.91,51.69,28.09
gpt-4o-mini,Malay,0.0,44.84,73.41,56.04,27.47,45.05,73.63,54.95,26.37,45.05,73.63,54.95,26.37
gpt-4o-mini,Bulgarian,0.0,45.88,68.24,54.12,31.76,45.88,68.24,54.12,31.76,45.88,68.24,54.12,31.76
gpt-4o-mini,Turkish,0.0,47.73,70.45,52.27,29.55,47.73,70.45,52.27,29.55,47.73,70.45,52.27,29.55
gpt-4o-mini,Indonesian,0.0,44.94,71.91,55.06,28.09,44.94,71.91,55.06,28.09,44.94,71.91,55.06,28.09
gpt-4o-mini,Italian,0.0,47.25,71.43,52.75,28.57,47.25,72.09,52.75,27.47,47.25,72.53,52.75,27.47
gpt-4o-mini,Spanish,0.0,46.3,71.96,55.43,27.17,46.74,73.04,53.26,26.09,46.74,73.91,53.26,26.09
gpt-4o-mini,Greek,0.0,47.13,69.2,52.87,29.89,47.13,69.66,52.87,29.89,47.13,70.11,52.87,29.89
gpt-4o-mini,Hebrew,0.0,43.33,68.89,56.67,31.11,43.33,68.89,56.67,31.11,43.33,68.89,56.67,31.11
gpt-4o-mini,Hungarian,0.0,45.88,68.24,54.12,31.76,45.88,68.24,54.12,31.76,45.88,68.24,54.12,31.76
gpt-4o-mini,English,0.2,50.87,75.65,48.91,26.09,51.09,77.72,48.91,21.74,51.09,78.26,48.91,21.74
gpt-4o-mini,Arabic,0.2,47.05,70.91,52.27,28.41,48.41,71.59,52.27,28.41,48.86,71.59,51.14,28.41
gpt-4o-mini,Russian,0.2,47.5,71.59,53.41,28.41,48.41,72.61,52.27,27.27,48.86,72.73,51.14,27.27
gpt-4o-mini,French,0.2,48.13,70.33,51.65,28.57,49.34,71.87,50.55,27.47,49.45,72.53,50.55,27.47
gpt-4o-mini,Afrikaans,0.2,51.4,75.81,48.84,23.26,52.33,76.74,47.67,23.26,52.33,76.74,47.67,23.26
gpt-4o-mini,Portuguese,0.2,47.64,71.24,53.93,29.21,48.31,72.47,51.69,26.97,48.31,73.03,51.69,26.97
gpt-4o-mini,Persian,0.2,47.14,70.0,52.38,29.76,47.62,71.31,52.38,28.57,47.62,71.43,52.38,28.57
gpt-4o-mini,Finnish,0.2,43.74,72.75,54.95,26.37,45.16,74.51,54.95,24.18,46.15,75.82,53.85,24.18
gpt-4o-mini,Tagalog,0.2,51.72,73.33,48.28,27.59,51.72,74.25,48.28,26.44,51.72,74.71,48.28,25.29
gpt-4o-mini,Estonian,0.2,43.04,69.13,56.52,30.43,44.02,70.11,56.52,29.35,44.57,70.65,55.43,29.35
gpt-4o-mini,Chinese,0.2,45.84,72.58,53.93,26.97,46.97,73.03,52.81,26.97,47.19,73.03,52.81,26.97
gpt-4o-mini,Dutch,0.2,48.09,74.83,50.56,24.72,49.44,75.28,50.56,24.72,49.44,75.28,50.56,24.72
gpt-4o-mini,Vietnamese,0.2,48.0,75.56,52.22,25.56,48.44,76.22,52.22,23.33,48.89,76.67,51.11,23.33
gpt-4o-mini,German,0.2,47.25,69.01,52.75,29.67,47.25,70.88,52.75,28.57,47.25,71.43,52.75,28.57
gpt-4o-mini,Malay,0.2,43.7,69.35,57.61,30.43,44.78,72.17,55.43,27.17,45.65,73.91,54.35,26.09
gpt-4o-mini,Bulgarian,0.2,45.81,68.37,53.49,31.4,46.74,69.88,52.33,30.23,47.67,70.93,52.33,29.07
gpt-4o-mini,Turkish,0.2,48.22,70.44,52.22,30.0,48.89,71.67,51.11,27.78,48.89,72.22,51.11,27.78
gpt-4o-mini,Indonesian,0.2,44.89,71.11,54.44,26.67,47.44,73.44,52.22,26.67,48.89,74.44,51.11,25.56
gpt-4o-mini,Italian,0.2,47.25,71.43,52.75,28.57,47.25,71.43,52.75,28.57,47.25,71.43,52.75,28.57
gpt-4o-mini,Spanish,0.2,46.74,71.52,53.26,27.17,47.39,73.8,53.26,26.09,47.83,73.91,52.17,26.09
gpt-4o-mini,Greek,0.2,46.9,68.51,52.87,29.89,47.82,69.89,52.87,29.89,48.28,71.26,51.72,28.74
gpt-4o-mini,Hebrew,0.2,43.33,69.11,56.67,30.0,43.33,69.56,56.67,30.0,43.33,70.0,56.67,30.0
gpt-4o-mini,Hungarian,0.2,45.29,68.28,55.17,31.03,45.86,69.2,54.02,29.89,45.98,70.11,54.02,29.89
gpt-4o-mini,English,0.4,51.09,75.22,48.91,25.0,51.09,77.17,48.91,22.83,51.09,78.26,48.91,21.74
gpt-4o-mini,Arabic,0.4,45.62,68.76,55.06,29.21,46.63,71.57,52.81,28.09,47.19,71.91,52.81,28.09
gpt-4o-mini,Russian,0.4,45.17,69.21,52.81,29.21,47.19,72.13,52.81,28.09,48.31,73.03,51.69,26.97
gpt-4o-mini,French,0.4,47.03,70.99,52.75,29.67,48.13,72.97,51.65,26.37,48.35,73.63,51.65,26.37
gpt-4o-mini,Afrikaans,0.4,49.56,73.33,48.89,24.44,50.56,74.89,48.89,24.44,51.11,75.56,48.89,24.44
gpt-4o-mini,Portuguese,0.4,46.81,70.55,53.85,29.67,47.25,71.98,52.75,27.47,47.25,72.53,52.75,27.47
gpt-4o-mini,Persian,0.4,45.41,67.53,52.94,31.76,46.47,70.12,52.94,29.41,47.06,70.59,52.94,29.41
gpt-4o-mini,Finnish,0.4,43.96,74.07,54.95,26.37,45.6,75.27,54.95,25.27,46.15,75.82,53.85,24.18
gpt-4o-mini,Tagalog,0.4,50.68,72.95,48.86,26.14,51.14,75.8,48.86,25.0,51.14,77.27,48.86,22.73
gpt-4o-mini,Estonian,0.4,42.15,69.03,56.99,32.26,43.87,71.72,55.91,29.03,44.09,72.04,55.91,27.96
gpt-4o-mini,Chinese,0.4,45.27,70.77,54.95,27.47,46.04,71.65,53.85,27.47,46.15,72.53,53.85,27.47
gpt-4o-mini,Dutch,0.4,48.99,73.48,50.56,26.97,50.45,76.18,49.44,22.47,50.56,77.53,49.44,22.47
gpt-4o-mini,Vietnamese,0.4,46.96,72.61,52.17,26.09,48.04,74.46,52.17,25.0,48.91,75.0,51.09,25.0
gpt-4o-mini,German,0.4,47.11,69.78,52.22,28.89,47.67,72.33,52.22,27.78,47.78,73.33,52.22,26.67
gpt-4o-mini,Malay,0.4,43.91,69.78,57.61,31.52,45.76,71.52,54.35,28.26,46.74,71.74,53.26,28.26
gpt-4o-mini,Bulgarian,0.4,46.67,68.51,52.87,31.03,49.31,70.92,50.57,28.74,50.57,71.26,49.43,28.74
gpt-4o-mini,Turkish,0.4,48.76,72.58,50.56,28.09,50.0,74.27,49.44,24.72,50.56,75.28,49.44,24.72
gpt-4o-mini,Indonesian,0.4,44.4,69.67,54.95,28.57,46.48,71.98,53.85,27.47,47.25,72.53,52.75,27.47
gpt-4o-mini,Italian,0.4,47.47,71.43,52.75,28.57,47.91,73.08,52.75,27.47,48.35,73.63,51.65,26.37
gpt-4o-mini,Spanish,0.4,47.39,70.87,52.17,30.43,47.83,72.61,52.17,27.17,47.83,72.83,52.17,27.17
gpt-4o-mini,Greek,0.4,46.67,70.34,52.87,26.44,48.05,72.18,51.72,26.44,49.43,73.56,50.57,26.44
