language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,0.55±0.63,37.43±1.73,29.07±1.30,7.70±2.52
Indo-European (Romance),0.2,0.30±0.22,37.33±1.58,28.56±1.38,7.31±1.13
Indo-European (Romance),0.4,0.67±0.06,37.76±1.21,27.63±1.92,5.90±0.71
Indo-European (Romance),0.6,0.70±0.20,37.65±1.39,27.73±2.21,3.49±0.51
Indo-European (Romance),0.8,0.36±0.22,37.41±1.36,27.33±1.31,1.64±0.40
Indo-European (Romance),1.0,0.14±0.11,37.65±1.43,26.76±1.35,0.92±0.33
Sino-Tibetan,0.0,0.00±0.00,34.44±0.00,35.56±0.00,6.11±0.00
Sino-Tibetan,0.2,0.22±0.00,34.86±0.00,33.89±0.00,6.44±0.00
Sino-Tibetan,0.4,0.67±0.00,35.00±0.00,33.44±0.00,4.78±0.00
Sino-Tibetan,0.6,0.22±0.00,35.28±0.00,33.56±0.00,2.56±0.00
Sino-Tibetan,0.8,0.56±0.00,36.53±0.00,31.56±0.00,0.89±0.00
Sino-Tibetan,1.0,0.00±0.00,36.53±0.00,30.11±0.00,0.11±0.00
Slavic,0.0,0.00±0.00,35.77±1.09,23.34±1.93,8.99±4.39
Slavic,0.2,0.16±0.23,36.20±0.87,23.62±1.54,7.35±3.90
Slavic,0.4,0.28±0.07,35.92±0.88,22.60±1.97,5.57±2.22
Slavic,0.6,0.56±0.46,36.21±0.67,22.99±1.59,3.67±1.03
Slavic,0.8,0.45±0.14,35.76±1.49,22.32±1.88,1.15±0.38
Slavic,1.0,0.17±0.07,35.54±1.80,23.33±1.29,0.73±0.53
Turkic,0.0,0.00±0.00,35.37±0.00,25.64±0.00,5.11±0.00
Turkic,0.2,0.11±0.00,35.90±0.00,26.91±0.00,6.06±0.00
Turkic,0.4,0.32±0.00,35.24±0.00,27.45±0.00,5.53±0.00
Turkic,0.6,0.21±0.00,35.77±0.00,26.28±0.00,4.26±0.00
Turkic,0.8,0.32±0.00,35.90±0.00,26.17±0.00,1.60±0.00
Turkic,1.0,0.11±0.00,35.64±0.00,26.49±0.00,0.74±0.00
Uralic,0.0,0.00±0.00,35.93±0.48,28.78±3.23,6.54±2.81
Uralic,0.2,0.30±0.17,36.21±0.75,28.57±3.68,6.51±2.01
Uralic,0.4,0.47±0.36,36.17±0.57,28.55±3.26,4.69±1.75
Uralic,0.6,0.34±0.23,36.03±0.57,28.30±3.48,3.41±0.89
Uralic,0.8,0.22±0.10,36.07±0.55,28.59±4.53,1.57±0.24
Uralic,1.0,0.26±0.15,35.79±0.58,26.57±4.24,0.74±0.55
