language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Indo-European (Germanic),0.8,4.41±0.33,50.01±1.18,43.66±4.11,7.84±0.23
Indo-European (Germanic),1.0,4.72±0.49,50.15±1.20,42.90±3.78,10.02±1.08
Indo-European (Greek),0.0,1.10±0.00,54.67±0.00,42.09±0.00,20.66±0.00
Indo-European (Greek),0.2,2.09±0.00,53.57±0.00,42.42±0.00,22.75±0.00
Indo-European (Greek),0.4,1.87±0.00,52.75±0.00,40.99±0.00,20.55±0.00
Indo-European (Greek),0.6,3.08±0.00,52.75±0.00,42.53±0.00,18.46±0.00
Indo-European (Greek),0.8,4.07±0.00,53.30±0.00,42.09±0.00,8.24±0.00
Indo-European (Greek),1.0,4.18±0.00,51.79±0.00,40.55±0.00,8.57±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,2.78±1.45,50.19±2.98,42.34±2.30,24.61±3.39
Indo-European (Romance),0.2,2.77±0.33,50.83±2.66,41.10±2.60,24.63±2.42
Indo-European (Romance),0.4,3.19±0.25,50.59±1.63,41.30±2.38,22.39±1.08
Indo-European (Romance),0.6,4.84±0.69,50.83±1.43,41.19±2.09,17.33±1.49
Indo-European (Romance),0.8,5.10±0.96,50.77±1.39,41.07±1.55,9.80±1.19
Indo-European (Romance),1.0,5.05±0.60,50.67±1.42,39.77±2.57,10.49±0.91
Sino-Tibetan,0.0,1.11±0.00,45.56±0.00,45.56±0.00,25.89±0.00
Sino-Tibetan,0.2,1.22±0.00,45.69±0.00,44.56±0.00,25.67±0.00
Sino-Tibetan,0.4,3.11±0.00,46.11±0.00,43.33±0.00,25.00±0.00
Sino-Tibetan,0.6,3.33±0.00,47.08±0.00,43.89±0.00,18.78±0.00
Sino-Tibetan,0.8,4.56±0.00,47.36±0.00,43.11±0.00,7.22±0.00
Sino-Tibetan,1.0,4.67±0.00,48.47±0.00,43.00±0.00,11.44±0.00
Slavic,0.0,1.10±1.55,50.99±0.35,36.47±4.33,25.50±0.46
Slavic,0.2,1.69±0.56,50.99±0.35,37.11±5.08,25.48±1.42
Slavic,0.4,3.46±0.07,51.20±0.24,37.11±4.92,21.92±0.39
Slavic,0.6,3.17±0.65,51.26±0.74,37.09±4.28,18.22±0.97
Slavic,0.8,4.67±0.39,50.57±0.23,35.62±4.53,7.92±0.78
Slavic,1.0,5.40±0.02,51.72±0.48,35.45±4.44,7.31±1.48
Turkic,0.0,3.19±0.00,53.19±0.00,42.77±0.00,23.40±0.00
Turkic,0.2,1.91±0.00,53.59±0.00,42.23±0.00,24.15±0.00
Turkic,0.4,2.77±0.00,53.06±0.00,42.13±0.00,24.15±0.00
Turkic,0.6,3.62±0.00,53.86±0.00,42.45±0.00,19.57±0.00
Turkic,0.8,4.57±0.00,52.13±0.00,41.28±0.00,8.19±0.00
Turkic,1.0,4.68±0.00,52.66±0.00,42.02±0.00,10.32±0.00
Uralic,0.0,0.73±0.64,52.98±1.41,46.58±3.46,24.03±5.02
Uralic,0.2,1.98±0.09,53.08±1.71,46.52±4.84,24.80±2.78
Uralic,0.4,3.20±0.80,52.60±1.41,46.42±4.21,24.04±1.91
Uralic,0.6,2.83±0.94,52.26±1.33,45.70±3.94,21.16±1.40
Uralic,0.8,4.50±0.78,52.55±1.32,45.28±4.57,10.23±0.94
Uralic,1.0,4.70±0.92,52.24±1.32,44.37±4.27,10.17±1.82
