Model,Language,Temp,Unique CWE,Vulnerable Prompts
multi-dataset_Qwen,Indonesian,0.6,21,42
multi-dataset_Qwen,Malayalam,0.6,14,19
multi-dataset_Qwen,Tagalog,0.6,16,33
multi-dataset_Qwen,Dutch,0.6,19,42
multi-dataset_Qwen,German,0.6,20,46
multi-dataset_Qwen,Afrikaans,0.6,17,26
multi-dataset_Qwen,Portuguese,0.6,17,33
multi-dataset_Qwen,Spanish,0.6,17,38
multi-dataset_Qwen,French,0.6,18,35
multi-dataset_Qwen,Italian,0.6,22,47
multi-dataset_Qwen,Greek,0.6,21,35
multi-dataset_Qwen,Western Persian,0.6,20,40
multi-dataset_Qwen,Russian,0.6,19,43
multi-dataset_Qwen,Bulgarian,0.6,19,37
multi-dataset_Qwen,Chinese,0.6,23,42
multi-dataset_Qwen,Turkish,0.6,19,41
multi-dataset_Qwen,Estonian,0.6,18,32
multi-dataset_Qwen,Finnish,0.6,18,34
multi-dataset_Qwen,Hungarian,0.6,17,38
multi-dataset_Qwen,English,0.6,21,54
multi-dataset_starcoder2,Acehnese,1.0,13,17
multi-dataset_starcoder2,Hebrew,1.0,14,23
multi-dataset_starcoder2,Vietnamese,1.0,18,29
multi-dataset_starcoder2,Indonesian,1.0,18,30
multi-dataset_starcoder2,Malayalam,1.0,14,22
multi-dataset_starcoder2,Tagalog,1.0,15,22
multi-dataset_starcoder2,Dutch,1.0,16,28
multi-dataset_starcoder2,German,1.0,18,30
multi-dataset_starcoder2,Afrikaans,1.0,20,34
multi-dataset_starcoder2,Portuguese,1.0,15,23
multi-dataset_starcoder2,Spanish,1.0,15,25
multi-dataset_starcoder2,French,1.0,20,29
multi-dataset_starcoder2,Italian,1.0,15,29
multi-dataset_starcoder2,Greek,1.0,19,37
multi-dataset_starcoder2,Western Persian,1.0,20,36
multi-dataset_starcoder2,Russian,1.0,16,28
multi-dataset_starcoder2,Bulgarian,1.0,17,31
multi-dataset_starcoder2,Chinese,1.0,14,22
multi-dataset_starcoder2,Turkish,1.0,16,28
multi-dataset_starcoder2,Estonian,1.0,12,19
multi-dataset_starcoder2,Finnish,1.0,13,21
multi-dataset_starcoder2,Hungarian,1.0,15,25
multi-dataset_starcoder2,English,1.0,14,28
multi-dataset_Qwen,Acehnese,0.4,13,23
multi-dataset_Qwen,Hebrew,0.4,17,33
multi-dataset_Qwen,Vietnamese,0.4,19,35
multi-dataset_Qwen,Indonesian,0.4,15,32
multi-dataset_Qwen,Malayalam,0.4,10,14
multi-dataset_Qwen,Tagalog,0.4,17,30
multi-dataset_Qwen,Dutch,0.4,17,37
multi-dataset_Qwen,German,0.4,16,37
multi-dataset_Qwen,Afrikaans,0.4,16,29
multi-dataset_Qwen,Portuguese,0.4,16,35
multi-dataset_Qwen,Spanish,0.4,17,40
multi-dataset_Qwen,French,0.4,17,30
multi-dataset_Qwen,Italian,0.4,20,44
multi-dataset_Qwen,Greek,0.4,14,27
multi-dataset_Qwen,Western Persian,0.4,17,34
multi-dataset_Qwen,Russian,0.4,19,37
multi-dataset_Qwen,Bulgarian,0.4,17,38
multi-dataset_Qwen,Chinese,0.4,18,37
multi-dataset_Qwen,Turkish,0.4,17,32
multi-dataset_Qwen,Estonian,0.4,16,28
multi-dataset_Qwen,Finnish,0.4,17,35
multi-dataset_Qwen,Hungarian,0.4,18,35
multi-dataset_Qwen,English,0.4,19,46
multi-dataset_starcoder2,Acehnese,0.4,14,21
multi-dataset_starcoder2,Hebrew,0.4,14,23
multi-dataset_starcoder2,Vietnamese,0.4,17,28
multi-dataset_starcoder2,Indonesian,0.4,21,31
multi-dataset_starcoder2,Malayalam,0.4,13,25
multi-dataset_starcoder2,Tagalog,0.4,17,35
multi-dataset_starcoder2,Dutch,0.4,19,34
multi-dataset_starcoder2,German,0.4,21,43
multi-dataset_starcoder2,Afrikaans,0.4,18,29
multi-dataset_starcoder2,Portuguese,0.4,16,28
multi-dataset_starcoder2,Spanish,0.4,18,31
multi-dataset_starcoder2,French,0.4,19,35
multi-dataset_starcoder2,Italian,0.4,19,39
multi-dataset_starcoder2,Greek,0.4,15,34
multi-dataset_starcoder2,Western Persian,0.4,19,34
multi-dataset_starcoder2,Russian,0.4,18,38
multi-dataset_starcoder2,Bulgarian,0.4,16,26
multi-dataset_starcoder2,Chinese,0.4,17,30
multi-dataset_starcoder2,Turkish,0.4,15,32
multi-dataset_starcoder2,Estonian,0.4,17,31
multi-dataset_starcoder2,Finnish,0.4,20,32
multi-dataset_starcoder2,Hungarian,0.4,17,26
multi-dataset_starcoder2,English,0.4,19,39
multi-dataset_Qwen,Acehnese,1.0,14,25
multi-dataset_Qwen,Hebrew,1.0,21,34
multi-dataset_Qwen,Vietnamese,1.0,18,34
multi-dataset_Qwen,Indonesian,1.0,18,39
multi-dataset_Qwen,Malayalam,1.0,17,21
multi-dataset_Qwen,Tagalog,1.0,18,33
multi-dataset_Qwen,Dutch,1.0,22,43
multi-dataset_Qwen,German,1.0,21,47
multi-dataset_Qwen,Afrikaans,1.0,17,29
multi-dataset_Qwen,Portuguese,1.0,21,39
multi-dataset_Qwen,Spanish,1.0,22,42
multi-dataset_Qwen,French,1.0,20,31
multi-dataset_Qwen,Italian,1.0,17,42
multi-dataset_Qwen,Greek,1.0,21,37
multi-dataset_Qwen,Western Persian,1.0,19,35
multi-dataset_Qwen,Russian,1.0,17,36
multi-dataset_Qwen,Bulgarian,1.0,23,40
multi-dataset_Qwen,Chinese,1.0,15,32
multi-dataset_Qwen,Turkish,1.0,19,35
multi-dataset_Qwen,Estonian,1.0,18,29
multi-dataset_Qwen,Finnish,1.0,21,35
multi-dataset_Qwen,Hungarian,1.0,16,28
multi-dataset_Qwen,English,1.0,22,46
multi-dataset_starcoder2,Acehnese,0.6,14,20
multi-dataset_starcoder2,Hebrew,0.6,15,29
multi-dataset_starcoder2,Vietnamese,0.6,20,32
multi-dataset_starcoder2,Indonesian,0.6,18,36
multi-dataset_starcoder2,Malayalam,0.6,16,31
multi-dataset_starcoder2,Tagalog,0.6,16,26
multi-dataset_starcoder2,Dutch,0.6,19,39
multi-dataset_starcoder2,German,0.6,21,45
multi-dataset_starcoder2,Afrikaans,0.6,18,32
multi-dataset_starcoder2,Portuguese,0.6,16,28
multi-dataset_starcoder2,Spanish,0.6,16,36
multi-dataset_starcoder2,French,0.6,17,30
multi-dataset_starcoder2,Italian,0.6,19,39
multi-dataset_starcoder2,Greek,0.6,17,38
multi-dataset_starcoder2,Western Persian,0.6,17,36
multi-dataset_starcoder2,Russian,0.6,20,41
multi-dataset_starcoder2,Bulgarian,0.6,19,38
multi-dataset_starcoder2,Chinese,0.6,20,32
multi-dataset_starcoder2,Turkish,0.6,18,32
multi-dataset_starcoder2,Estonian,0.6,16,32
multi-dataset_starcoder2,Finnish,0.6,18,29
multi-dataset_starcoder2,Hungarian,0.6,19,32
multi-dataset_starcoder2,English,0.6,18,37
multi-dataset_starcoder2,Acehnese,0.2,10,11
multi-dataset_starcoder2,Hebrew,0.2,12,15
multi-dataset_starcoder2,Vietnamese,0.2,13,17
multi-dataset_starcoder2,Indonesian,0.2,8,11
multi-dataset_starcoder2,Malayalam,0.2,12,17
multi-dataset_starcoder2,Tagalog,0.2,10,16
multi-dataset_starcoder2,Dutch,0.2,16,27
multi-dataset_starcoder2,German,0.2,17,27
multi-dataset_starcoder2,Afrikaans,0.2,14,21
multi-dataset_starcoder2,Portuguese,0.2,13,19
multi-dataset_starcoder2,Spanish,0.2,13,19
multi-dataset_starcoder2,French,0.2,14,22
multi-dataset_starcoder2,Italian,0.2,12,24
multi-dataset_starcoder2,Greek,0.2,13,18
multi-dataset_starcoder2,Western Persian,0.2,13,20
multi-dataset_starcoder2,Russian,0.2,15,22
multi-dataset_starcoder2,Bulgarian,0.2,12,17
multi-dataset_starcoder2,Chinese,0.2,9,13
multi-dataset_starcoder2,Turkish,0.2,13,20
multi-dataset_starcoder2,Estonian,0.2,12,20
multi-dataset_starcoder2,Finnish,0.2,16,24
multi-dataset_starcoder2,Hungarian,0.2,12,13
multi-dataset_starcoder2,English,0.2,16,24
multi-dataset_starcoder2,Acehnese,0.0,3,3
multi-dataset_starcoder2,Hebrew,0.0,4,5
multi-dataset_starcoder2,Vietnamese,0.0,2,2
multi-dataset_starcoder2,Indonesian,0.0,4,5
multi-dataset_starcoder2,Malayalam,0.0,4,4
multi-dataset_starcoder2,Tagalog,0.0,3,3
multi-dataset_starcoder2,Dutch,0.0,8,12
multi-dataset_starcoder2,German,0.0,9,13
multi-dataset_starcoder2,Afrikaans,0.0,8,9
multi-dataset_starcoder2,Portuguese,0.0,6,7
multi-dataset_starcoder2,Spanish,0.0,4,6
multi-dataset_starcoder2,French,0.0,6,7
multi-dataset_starcoder2,Italian,0.0,5,6
multi-dataset_starcoder2,Greek,0.0,2,3
multi-dataset_starcoder2,Western Persian,0.0,8,8
multi-dataset_starcoder2,Russian,0.0,7,11
multi-dataset_starcoder2,Bulgarian,0.0,5,5
multi-dataset_starcoder2,Chinese,0.0,2,2
multi-dataset_starcoder2,Turkish,0.0,2,3
multi-dataset_starcoder2,Estonian,0.0,7,8
multi-dataset_starcoder2,Finnish,0.0,4,5
multi-dataset_starcoder2,Hungarian,0.0,4,5
multi-dataset_starcoder2,English,0.0,6,8
multi-dataset_gpt-4o-mini,Acehnese,1.0,19,33
multi-dataset_gpt-4o-mini,Hebrew,1.0,23,48
multi-dataset_gpt-4o-mini,Vietnamese,1.0,22,45
multi-dataset_gpt-4o-mini,Indonesian,1.0,22,48
multi-dataset_gpt-4o-mini,Malayalam,1.0,20,35
multi-dataset_gpt-4o-mini,Tagalog,1.0,22,45
multi-dataset_gpt-4o-mini,Dutch,1.0,22,44
multi-dataset_gpt-4o-mini,German,1.0,22,45
multi-dataset_gpt-4o-mini,Afrikaans,1.0,22,42
multi-dataset_gpt-4o-mini,Portuguese,1.0,22,41
multi-dataset_gpt-4o-mini,Spanish,1.0,22,47
multi-dataset_gpt-4o-mini,French,1.0,22,46
multi-dataset_gpt-4o-mini,Italian,1.0,22,49
multi-dataset_gpt-4o-mini,Greek,1.0,22,45
multi-dataset_gpt-4o-mini,Western Persian,1.0,22,45
multi-dataset_gpt-4o-mini,Russian,1.0,22,43
multi-dataset_gpt-4o-mini,Bulgarian,1.0,22,44
multi-dataset_gpt-4o-mini,Chinese,1.0,22,43
multi-dataset_gpt-4o-mini,Turkish,1.0,22,47
multi-dataset_gpt-4o-mini,Estonian,1.0,22,40
multi-dataset_gpt-4o-mini,Finnish,1.0,22,44
multi-dataset_gpt-4o-mini,Hungarian,1.0,22,46
multi-dataset_gpt-4o-mini,English,1.0,22,51
multi-dataset_gemini-2.5-flash,Acehnese,1.0,18,33
multi-dataset_gemini-2.5-flash,Hebrew,1.0,21,41
multi-dataset_gemini-2.5-flash,Vietnamese,1.0,21,42
multi-dataset_gemini-2.5-flash,Indonesian,1.0,20,46
multi-dataset_gemini-2.5-flash,Malayalam,1.0,19,33
multi-dataset_gemini-2.5-flash,Tagalog,1.0,20,42
multi-dataset_gemini-2.5-flash,Dutch,1.0,21,42
multi-dataset_gemini-2.5-flash,German,1.0,21,45
multi-dataset_gemini-2.5-flash,Afrikaans,1.0,20,38
multi-dataset_gemini-2.5-flash,Portuguese,1.0,20,36
multi-dataset_gemini-2.5-flash,Spanish,1.0,21,44
multi-dataset_gemini-2.5-flash,French,1.0,20,42
multi-dataset_gemini-2.5-flash,Italian,1.0,19,42
multi-dataset_gemini-2.5-flash,Greek,1.0,21,43
multi-dataset_gemini-2.5-flash,Western Persian,1.0,21,43
multi-dataset_gemini-2.5-flash,Russian,1.0,21,40
multi-dataset_gemini-2.5-flash,Bulgarian,1.0,20,38
multi-dataset_gemini-2.5-flash,Chinese,1.0,19,39
multi-dataset_gemini-2.5-flash,Turkish,1.0,20,45
multi-dataset_gemini-2.5-flash,Estonian,1.0,21,38
multi-dataset_gemini-2.5-flash,Finnish,1.0,21,39
multi-dataset_gemini-2.5-flash,Hungarian,1.0,20,43
multi-dataset_gemini-2.5-flash,English,1.0,20,47
multi-dataset_starcoder2,Acehnese,0.8,15,21
multi-dataset_starcoder2,Hebrew,0.8,17,31
multi-dataset_starcoder2,Vietnamese,0.8,20,32
multi-dataset_starcoder2,Indonesian,0.8,17,33
multi-dataset_starcoder2,Malayalam,0.8,14,25
multi-dataset_starcoder2,Tagalog,0.8,17,26
multi-dataset_starcoder2,Dutch,0.8,13,31
multi-dataset_starcoder2,German,0.8,17,37
multi-dataset_starcoder2,Afrikaans,0.8,19,30
multi-dataset_starcoder2,Portuguese,0.8,14,23
multi-dataset_starcoder2,Spanish,0.8,16,29
multi-dataset_starcoder2,French,0.8,21,39
multi-dataset_starcoder2,Italian,0.8,19,35
multi-dataset_starcoder2,Greek,0.8,19,32
multi-dataset_starcoder2,Western Persian,0.8,17,31
multi-dataset_starcoder2,Russian,0.8,22,40
multi-dataset_starcoder2,Bulgarian,0.8,14,28
multi-dataset_starcoder2,Chinese,0.8,20,34
multi-dataset_starcoder2,Turkish,0.8,18,30
multi-dataset_starcoder2,Estonian,0.8,17,27
multi-dataset_starcoder2,Finnish,0.8,17,35
multi-dataset_starcoder2,Hungarian,0.8,21,38
multi-dataset_starcoder2,English,0.8,19,35
multi-dataset_gemini-2.5-flash,Acehnese,0.0,18,32
multi-dataset_gemini-2.5-flash,Hebrew,0.0,21,40
multi-dataset_gemini-2.5-flash,Vietnamese,0.0,19,40
multi-dataset_gemini-2.5-flash,Indonesian,0.0,20,42
multi-dataset_gemini-2.5-flash,Malayalam,0.0,18,31
multi-dataset_gemini-2.5-flash,Tagalog,0.0,20,40
multi-dataset_gemini-2.5-flash,Dutch,0.0,19,39
multi-dataset_gemini-2.5-flash,German,0.0,20,42
multi-dataset_gemini-2.5-flash,Afrikaans,0.0,20,37
multi-dataset_gemini-2.5-flash,Portuguese,0.0,20,34
multi-dataset_gemini-2.5-flash,Spanish,0.0,19,41
multi-dataset_gemini-2.5-flash,French,0.0,20,41
multi-dataset_gemini-2.5-flash,Italian,0.0,19,42
multi-dataset_gemini-2.5-flash,Greek,0.0,21,40
multi-dataset_gemini-2.5-flash,Western Persian,0.0,20,42
multi-dataset_gemini-2.5-flash,Russian,0.0,18,36
multi-dataset_gemini-2.5-flash,Bulgarian,0.0,20,38
multi-dataset_gemini-2.5-flash,Chinese,0.0,19,36
multi-dataset_gemini-2.5-flash,Turkish,0.0,20,43
multi-dataset_gemini-2.5-flash,Estonian,0.0,20,35
multi-dataset_gemini-2.5-flash,Finnish,0.0,19,37
multi-dataset_gemini-2.5-flash,Hungarian,0.0,19,41
multi-dataset_gemini-2.5-flash,English,0.0,20,47
multi-dataset_gpt-4o-mini,Acehnese,0.2,18,31
multi-dataset_gpt-4o-mini,Hebrew,0.2,21,41
multi-dataset_gpt-4o-mini,Vietnamese,0.2,22,45
multi-dataset_gpt-4o-mini,Indonesian,0.2,22,45
multi-dataset_gpt-4o-mini,Malayalam,0.2,19,33
multi-dataset_gpt-4o-mini,Tagalog,0.2,22,43
multi-dataset_gpt-4o-mini,Dutch,0.2,22,44
multi-dataset_gpt-4o-mini,German,0.2,22,43
multi-dataset_gpt-4o-mini,Afrikaans,0.2,22,39
multi-dataset_gpt-4o-mini,Portuguese,0.2,22,39
multi-dataset_gpt-4o-mini,Spanish,0.2,22,42
multi-dataset_gpt-4o-mini,French,0.2,22,42
multi-dataset_gpt-4o-mini,Italian,0.2,22,47
multi-dataset_gpt-4o-mini,Greek,0.2,22,43
multi-dataset_gpt-4o-mini,Western Persian,0.2,22,45
multi-dataset_gpt-4o-mini,Russian,0.2,21,36
multi-dataset_gpt-4o-mini,Bulgarian,0.2,22,40
multi-dataset_gpt-4o-mini,Chinese,0.2,21,40
multi-dataset_gpt-4o-mini,Turkish,0.2,22,45
multi-dataset_gpt-4o-mini,Estonian,0.2,21,37
multi-dataset_gpt-4o-mini,Finnish,0.2,20,39
multi-dataset_gpt-4o-mini,Hungarian,0.2,21,43
multi-dataset_gpt-4o-mini,English,0.2,22,49
multi-dataset_Qwen,Acehnese,0.8,17,33
multi-dataset_Qwen,Hebrew,0.8,21,39
multi-dataset_Qwen,Vietnamese,0.8,22,41
multi-dataset_Qwen,Indonesian,0.8,18,41
multi-dataset_Qwen,Malayalam,0.8,14,20
multi-dataset_Qwen,Tagalog,0.8,18,34
multi-dataset_Qwen,Dutch,0.8,20,46
multi-dataset_Qwen,German,0.8,24,48
multi-dataset_Qwen,Afrikaans,0.8,23,33
multi-dataset_Qwen,Portuguese,0.8,19,34
multi-dataset_Qwen,Spanish,0.8,22,42
multi-dataset_Qwen,French,0.8,19,40
multi-dataset_Qwen,Italian,0.8,19,45
multi-dataset_Qwen,Greek,0.8,19,34
multi-dataset_Qwen,Western Persian,0.8,19,38
multi-dataset_Qwen,Russian,0.8,23,42
multi-dataset_Qwen,Bulgarian,0.8,22,42
multi-dataset_Qwen,Chinese,0.8,20,39
multi-dataset_Qwen,Turkish,0.8,18,38
multi-dataset_Qwen,Estonian,0.8,17,33
multi-dataset_Qwen,Finnish,0.8,20,39
multi-dataset_Qwen,Hungarian,0.8,23,44
multi-dataset_Qwen,English,0.8,22,50
multi-dataset_gpt-4o-mini,Acehnese,0.0,18,31
multi-dataset_gpt-4o-mini,Hebrew,0.0,21,40
multi-dataset_gpt-4o-mini,Vietnamese,0.0,22,43
multi-dataset_gpt-4o-mini,Indonesian,0.0,21,43
multi-dataset_gpt-4o-mini,Malayalam,0.0,19,33
multi-dataset_gpt-4o-mini,Tagalog,0.0,22,43
multi-dataset_gpt-4o-mini,Dutch,0.0,22,43
multi-dataset_gpt-4o-mini,German,0.0,22,42
multi-dataset_gpt-4o-mini,Afrikaans,0.0,22,38
multi-dataset_gpt-4o-mini,Portuguese,0.0,22,38
multi-dataset_gpt-4o-mini,Spanish,0.0,22,42
multi-dataset_gpt-4o-mini,French,0.0,22,42
multi-dataset_gpt-4o-mini,Italian,0.0,21,45
multi-dataset_gpt-4o-mini,Greek,0.0,21,40
multi-dataset_gpt-4o-mini,Western Persian,0.0,22,45
multi-dataset_gpt-4o-mini,Russian,0.0,21,36
multi-dataset_gpt-4o-mini,Bulgarian,0.0,21,39
multi-dataset_gpt-4o-mini,Chinese,0.0,20,39
multi-dataset_gpt-4o-mini,Turkish,0.0,22,44
multi-dataset_gpt-4o-mini,Estonian,0.0,22,38
multi-dataset_gpt-4o-mini,Finnish,0.0,20,38
multi-dataset_gpt-4o-mini,Hungarian,0.0,21,43
multi-dataset_gpt-4o-mini,English,0.0,22,48
multi-dataset_gemini-2.5-flash,Acehnese,0.2,18,32
multi-dataset_gemini-2.5-flash,Hebrew,0.2,21,40
multi-dataset_gemini-2.5-flash,Vietnamese,0.2,20,41
multi-dataset_gemini-2.5-flash,Indonesian,0.2,20,42
multi-dataset_gemini-2.5-flash,Malayalam,0.2,18,31
multi-dataset_gemini-2.5-flash,Tagalog,0.2,20,40
multi-dataset_gemini-2.5-flash,Dutch,0.2,20,40
multi-dataset_gemini-2.5-flash,German,0.2,21,43
multi-dataset_gemini-2.5-flash,Afrikaans,0.2,20,37
multi-dataset_gemini-2.5-flash,Portuguese,0.2,20,35
multi-dataset_gemini-2.5-flash,Spanish,0.2,20,42
multi-dataset_gemini-2.5-flash,French,0.2,20,41
multi-dataset_gemini-2.5-flash,Italian,0.2,19,42
multi-dataset_gemini-2.5-flash,Greek,0.2,21,40
multi-dataset_gemini-2.5-flash,Western Persian,0.2,20,42
multi-dataset_gemini-2.5-flash,Russian,0.2,20,39
multi-dataset_gemini-2.5-flash,Bulgarian,0.2,20,38
multi-dataset_gemini-2.5-flash,Chinese,0.2,19,36
multi-dataset_gemini-2.5-flash,Turkish,0.2,20,43
multi-dataset_gemini-2.5-flash,Estonian,0.2,21,37
multi-dataset_gemini-2.5-flash,Finnish,0.2,19,37
multi-dataset_gemini-2.5-flash,Hungarian,0.2,19,41
multi-dataset_gemini-2.5-flash,English,0.2,20,47
multi-dataset_gemini-2.5-flash,Acehnese,0.6,18,34
multi-dataset_gemini-2.5-flash,Hebrew,0.6,21,41
multi-dataset_gemini-2.5-flash,Vietnamese,0.6,20,41
multi-dataset_gemini-2.5-flash,Indonesian,0.6,20,44
multi-dataset_gemini-2.5-flash,Malayalam,0.6,19,32
multi-dataset_gemini-2.5-flash,Tagalog,0.6,20,41
multi-dataset_gemini-2.5-flash,Dutch,0.6,21,41
multi-dataset_gemini-2.5-flash,German,0.6,20,42
multi-dataset_gemini-2.5-flash,Afrikaans,0.6,20,38
multi-dataset_gemini-2.5-flash,Portuguese,0.6,20,36
multi-dataset_gemini-2.5-flash,Spanish,0.6,20,43
multi-dataset_gemini-2.5-flash,French,0.6,20,42
multi-dataset_gemini-2.5-flash,Italian,0.6,19,42
multi-dataset_gemini-2.5-flash,Greek,0.6,21,42
multi-dataset_gemini-2.5-flash,Western Persian,0.6,21,43
multi-dataset_gemini-2.5-flash,Russian,0.6,20,39
multi-dataset_gemini-2.5-flash,Bulgarian,0.6,20,39
multi-dataset_gemini-2.5-flash,Chinese,0.6,19,38
multi-dataset_gemini-2.5-flash,Turkish,0.6,20,44
multi-dataset_gemini-2.5-flash,Estonian,0.6,21,38
multi-dataset_gemini-2.5-flash,Finnish,0.6,21,40
multi-dataset_gemini-2.5-flash,Hungarian,0.6,20,43
multi-dataset_gemini-2.5-flash,English,0.6,21,48
multi-dataset_gpt-4o-mini,Acehnese,0.4,19,33
multi-dataset_gpt-4o-mini,Hebrew,0.4,22,42
multi-dataset_gpt-4o-mini,Vietnamese,0.4,22,45
multi-dataset_gpt-4o-mini,Indonesian,0.4,22,46
multi-dataset_gpt-4o-mini,Malayalam,0.4,19,33
multi-dataset_gpt-4o-mini,Tagalog,0.4,22,46
multi-dataset_gpt-4o-mini,Dutch,0.4,22,44
multi-dataset_gpt-4o-mini,German,0.4,22,45
multi-dataset_gpt-4o-mini,Afrikaans,0.4,22,41
multi-dataset_gpt-4o-mini,Portuguese,0.4,22,40
multi-dataset_gpt-4o-mini,Spanish,0.4,22,45
multi-dataset_gpt-4o-mini,French,0.4,22,44
multi-dataset_gpt-4o-mini,Italian,0.4,22,47
multi-dataset_gpt-4o-mini,Greek,0.4,22,44
multi-dataset_gpt-4o-mini,Western Persian,0.4,22,45
multi-dataset_gpt-4o-mini,Russian,0.4,22,39
multi-dataset_gpt-4o-mini,Bulgarian,0.4,22,41
