language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,0.55±0.63,37.89±1.65,29.89±0.86,8.08±3.01
Indo-European (Romance),0.2,1.13±0.65,38.22±1.81,30.48±1.47,14.30±0.95
Indo-European (Romance),0.4,2.98±0.48,38.78±1.32,31.43±2.00,16.93±1.09
Indo-European (Romance),0.6,3.43±0.92,39.16±1.14,33.62±1.58,13.27±1.11
Indo-European (Romance),0.8,1.68±1.03,39.24±1.62,35.30±0.86,7.11±1.67
Indo-European (Romance),1.0,0.70±0.56,39.70±1.39,35.32±0.68,4.30±1.26
Sino-Tibetan,0.0,0.00±0.00,34.44±0.00,35.56±0.00,6.66±0.00
Sino-Tibetan,0.2,0.86±0.00,36.13±0.00,36.10±0.00,9.88±0.00
Sino-Tibetan,0.4,3.09±0.00,36.43±0.00,36.37±0.00,12.51±0.00
Sino-Tibetan,0.6,1.11±0.00,36.55±0.00,36.39±0.00,7.90±0.00
Sino-Tibetan,0.8,2.53±0.00,38.35±0.00,36.79±0.00,4.20±0.00
Sino-Tibetan,1.0,0.00±0.00,37.76±0.00,37.91±0.00,0.56±0.00
Slavic,0.0,0.00±0.00,36.90±0.66,23.89±1.15,8.99±4.39
Slavic,0.2,0.70±0.99,37.35±1.24,25.70±1.08,12.78±7.27
Slavic,0.4,1.28±0.52,37.24±1.12,27.53±0.94,14.77±6.20
Slavic,0.6,2.66±2.10,37.35±1.24,28.76±0.29,11.88±4.23
Slavic,0.8,2.26±0.69,37.54±1.10,29.41±1.01,4.88±1.37
Slavic,1.0,0.84±0.36,37.54±1.13,30.76±0.41,3.51±2.46
Turkic,0.0,0.00±0.00,36.06±0.00,26.06±0.00,5.32±0.00
Turkic,0.2,0.53±0.00,36.17±0.00,30.01±0.00,14.72±0.00
Turkic,0.4,1.60±0.00,36.44±0.00,30.74±0.00,16.52±0.00
Turkic,0.6,1.06±0.00,36.84±0.00,31.49±0.00,14.75±0.00
Turkic,0.8,1.60±0.00,36.84±0.00,32.51±0.00,6.27±0.00
Turkic,1.0,0.53±0.00,37.20±0.00,33.46±0.00,3.72±0.00
Uralic,0.0,0.00±0.00,36.76±0.32,29.19±3.44,6.77±3.20
Uralic,0.2,1.26±0.59,37.17±0.50,30.70±4.79,11.55±3.10
Uralic,0.4,2.12±1.58,37.35±0.64,32.84±4.00,12.59±3.63
Uralic,0.6,1.60±1.17,37.82±0.37,32.86±4.68,12.66±2.09
Uralic,0.8,1.11±0.50,38.33±1.35,34.66±4.71,6.52±1.20
Uralic,1.0,1.20±0.65,38.40±1.13,34.60±4.82,3.40±2.47
