language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Slavic,0.4,3.41±0.16,50.57±0.03,36.56±8.19,22.68±2.12
Slavic,0.6,4.00±1.00,50.57±0.03,37.03±4.20,16.48±0.01
Slavic,0.8,5.14±1.05,51.16±0.86,36.99±2.59,6.04±8.55
Slavic,1.0,3.92±2.22,52.84±0.14,36.48±4.97,7.38±0.45
Turkic,0.0,3.19±0.00,53.19±0.00,42.55±0.00,23.40±0.00
Turkic,0.2,1.06±0.00,53.19±0.00,41.49±0.00,21.28±0.00
Turkic,0.4,2.13±0.00,52.13±0.00,43.62±0.00,23.40±0.00
Turkic,0.6,4.26±0.00,55.32±0.00,39.36±0.00,20.21±0.00
Turkic,0.8,4.26±0.00,52.13±0.00,38.30±0.00,11.70±0.00
Turkic,1.0,4.26±0.00,55.32±0.00,40.43±0.00,8.51±0.00
Uralic,0.0,0.73±0.64,53.42±1.62,46.02±3.40,24.52±5.37
Uralic,0.2,1.82±1.16,53.38±0.70,47.94±5.13,26.08±1.71
Uralic,0.4,3.76±1.83,51.91±1.49,46.82±5.07,21.86±5.11
Uralic,0.6,2.67±2.72,52.26±1.06,47.11±2.89,26.61±4.28
Uralic,0.8,4.08±2.55,51.91±1.49,46.86±6.01,14.34±4.26
Uralic,1.0,5.15±2.00,52.23±1.50,44.23±5.55,9.26±3.10
