language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Slavic,0.0,1.10±1.55,50.57±0.03,34.80±5.70,24.99±0.40
Slavic,0.2,0.00±0.00,49.98±0.80,34.21±4.86,17.58±1.56
Slavic,0.4,0.00±0.00,50.02±0.80,33.15±8.03,8.51±0.39
Slavic,0.6,0.00±0.00,50.57±0.03,30.25±5.48,2.90±2.55
Slavic,0.8,0.00±0.00,48.25±1.69,29.62±3.04,0.00±0.00
Slavic,1.0,0.00±0.00,48.88±0.75,29.15±7.03,0.59±0.83
Turkic,0.0,3.19±0.00,53.19±0.00,41.49±0.00,23.40±0.00
Turkic,0.2,0.00±0.00,52.13±0.00,39.36±0.00,10.64±0.00
Turkic,0.4,0.00±0.00,52.13±0.00,39.36±0.00,6.38±0.00
Turkic,0.6,1.06±0.00,53.19±0.00,35.11±0.00,7.45±0.00
Turkic,0.8,0.00±0.00,50.00±0.00,32.98±0.00,1.06±0.00
Turkic,1.0,0.00±0.00,51.06±0.00,34.04±0.00,0.00±0.00
Uralic,0.0,0.73±0.64,52.65±1.73,44.90±3.34,23.39±4.58
Uralic,0.2,0.00±0.00,51.91±1.49,43.84±5.16,15.22±2.63
Uralic,0.4,0.00±0.00,50.76±1.46,44.93±4.36,9.99±2.37
Uralic,0.6,0.00±0.00,49.67±2.30,41.92±3.60,5.18±1.50
Uralic,0.8,0.39±0.67,49.64±1.45,39.43±6.85,0.38±0.66
Uralic,1.0,0.00±0.00,49.57±2.26,38.24±4.87,0.77±0.67
