language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Indo-European (Romance),0.0,0.55±0.63,37.78±1.73,29.55±1.13,8.02±2.92
Indo-European (Romance),0.2,0.79±0.51,37.92±1.75,30.11±1.32,12.04±1.11
Indo-European (Romance),0.4,1.89±0.24,38.45±1.34,30.57±1.76,12.76±0.89
Indo-European (Romance),0.6,2.08±0.57,38.72±1.32,32.17±1.68,9.07±1.06
Indo-European (Romance),0.8,1.05±0.64,38.69±1.61,33.35±0.87,4.56±1.08
Indo-European (Romance),1.0,0.42±0.33,39.13±1.46,33.28±0.98,2.66±0.87
Sino-Tibetan,0.0,0.00±0.00,34.44±0.00,35.56±0.00,6.57±0.00
Sino-Tibetan,0.2,0.59±0.00,35.58±0.00,35.67±0.00,9.02±0.00
Sino-Tibetan,0.4,1.93±0.00,35.87±0.00,35.77±0.00,9.62±0.00
Sino-Tibetan,0.6,0.67±0.00,36.25±0.00,35.95±0.00,5.61±0.00
Sino-Tibetan,0.8,1.59±0.00,37.80±0.00,35.73±0.00,2.59±0.00
Sino-Tibetan,1.0,0.00±0.00,37.56±0.00,36.46±0.00,0.33±0.00
Slavic,0.0,0.00±0.00,36.69±0.90,23.67±1.46,8.99±4.39
Slavic,0.2,0.46±0.65,37.05±0.88,25.22±1.28,11.14±6.23
Slavic,0.4,0.81±0.26,36.91±0.95,26.00±1.39,11.34±4.85
Slavic,0.6,1.63±1.31,37.06±0.87,27.03±0.56,8.68±2.74
Slavic,0.8,1.35±0.42,36.98±1.26,27.77±0.06,3.17±0.96
Slavic,1.0,0.51±0.22,36.97±1.45,28.84±0.57,2.14±1.53
Turkic,0.0,0.00±0.00,35.79±0.00,25.85±0.00,5.32±0.00
Turkic,0.2,0.32±0.00,36.17±0.00,29.08±0.00,11.46±0.00
Turkic,0.4,0.96±0.00,35.90±0.00,29.89±0.00,11.93±0.00
Turkic,0.6,0.64±0.00,36.55±0.00,30.51±0.00,10.48±0.00
Turkic,0.8,0.96±0.00,36.57±0.00,31.03±0.00,4.19±0.00
Turkic,1.0,0.32±0.00,36.85±0.00,31.94±0.00,2.23±0.00
Uralic,0.0,0.00±0.00,36.49±0.35,29.04±3.38,6.71±3.10
Uralic,0.2,0.82±0.42,36.85±0.43,30.11±4.59,10.31±3.08
Uralic,0.4,1.35±1.02,37.02±0.23,31.62±4.05,9.76±3.04
Uralic,0.6,0.98±0.69,37.24±0.37,31.78±4.28,8.71±1.75
Uralic,0.8,0.66±0.30,37.66±0.78,33.40±4.89,4.29±0.71
Uralic,1.0,0.75±0.43,37.56±0.74,32.73±4.84,2.13±1.56
